artist,track_name,track_id,release_year,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
Harris Jayaraj,Ennai Saaithaalae,73dPMLKVaaOSS0TWe8oNmw,2013,329280,51,0.295,0.68,0.419,5.74E-06,0.097,-9.157,0.031,92.015,4,0.181
Sean Roldan,Kodi Aruvi,7gXkeV2BHU3eLOMtsWs6nz,2019,260310,65,0.697,0.607,0.624,0,0.0994,-7.051,0.0354,157.305,3,0.757
V. Selvaganesh,Vizhigalile,0rFdbImiFCvAY8jD2aE391,2011,301986,46,0.639,0.612,0.518,8.47E-05,0.0817,-8.888,0.19,159.894,4,0.527
Yuvan Shankar Raja,Iragai Poley,3FRLxtpSk9BxxnxdS6I4jq,2010,317739,65,0.0586,0.875,0.539,0.0047,0.116,-8.364,0.0367,115.004,4,0.305
Santhosh Narayanan,Ei Suzhali,2lOrPIWA114GA1OFEcHc8R,2016,217459,55,0.781,0.797,0.279,0.000101,0.326,-8.947,0.423,180.066,4,0.813
Shabir,Yaayum,4Uh41d7PlFHP2gCinJEWlr,2018,286200,62,0.893,0.398,0.363,7.85E-06,0.0932,-7.257,0.0423,200.163,3,0.535
Harris Jayaraj,Suttum Vizhi,6wdyJnmcSeBXUyR6H5gGKd,2005,318600,59,0.0808,0.789,0.592,0.00079,0.084,-7.063,0.0501,96.969,4,0.946
Harris Jayaraj,Idhayathai Yedho Ondru,23bpCCVsTUKviTEfoy4tbM,2015,235391,56,0.845,0.721,0.496,0,0.11,-8.063,0.0508,131.969,3,0.217
A.R. Rahman,Usure Pogudhey,0YMwb9eRZbG5lAvhjR3DUz,2010,366506,44,0.285,0.674,0.662,3.26E-06,0.101,-8.905,0.0575,93.027,4,0.304
Various Artists,Venpani Malare Male (The Romance Of Power Paandi),5xZO9FskRd29medT2Psd1z,2017,233333,47,0.787,0.618,0.434,0.00159,0.125,-11.006,0.0546,89.97,4,0.47
G. V. Prakash,Pookkal Pookkum,7hMKAmUlUUYa5qEiHWK4bk,2010,396466,68,0.844,0.589,0.424,0.00381,0.169,-12.006,0.0359,119.823,4,0.561
D. Imman,Yembuttu Irukkuthu Aasai,0srLmMJws5nv8d1n9qrtro,2017,269832,54,0.443,0.687,0.558,0,0.186,-5.858,0.0256,118.007,4,0.617
S.N. Arunagiri,Alunguraen Kulunguraen,61cxfQqN4UOhCpNsj3mBl5,2015,270000,43,0.313,0.57,0.703,5.92E-06,0.0556,-5.51,0.0486,172.025,4,0.598
A.R. Rahman,Newyork Nagaram,45K3uOEsbrE2Jkegqiu9sm,2013,378020,42,0.203,0.652,0.732,0.000366,0.0739,-8.587,0.0275,127.043,4,0.577
Sam C.S.,Yaanji,5NEGfbKMcNuEWOzpWufScA,2017,270375,61,0.368,0.692,0.624,0,0.108,-6.492,0.0337,132.896,4,0.487
Leon James,"Kadhaippoma (From ""Oh My Kadavule"")",5cfKBuE5XKtlaNOVjQwA9H,2020,282208,68,0.451,0.575,0.577,3.98E-06,0.264,-6.674,0.0432,90.012,4,0.157
A.R. Rahman,Munbe Vaa,65dvxc4Kctq3JIJ2BkKKMj,2006,357006,67,0.25,0.602,0.758,3.93E-05,0.209,-9.416,0.0324,141.108,4,0.788
